PUID,Name,Version,Number-of-sigs,Extensions,Deprecated
fmt/10,Tagged Image File Format,6,0,,Yes
fmt/1062,Hasselblad 3FR Raw Image,,0,3fr,
fmt/1088,Visual Basic (VB) File,,0,vb,
fmt/1089,VBScript (VBS) File,,0,vbs,
fmt/1090,Exclude File,,0,exclude,
fmt/1119,Jupyter Python Notebook,,0,ipynb,
fmt/113,Still Picture Interchange File Format,2,0,,
fmt/1149,Markdown,,0,md,
fmt/1165,Praat Script File,,0,praat,
fmt/1218,SubRip Subtitle File,,0,srt,
fmt/1229,Sibelius Sound Set Definition,,0,set,
fmt/1238,Band Interleaved By Line File,,0,bil,
fmt/1239,Band Interleaved By Pixel File,,0,bip,
fmt/1240,Band Sequential File,,0,bsq,
fmt/1253,ESRI Code Page File,,0,cpg,
fmt/1257,AutoCAD Temporary File,,0,ac$,
fmt/1365,Debug File,,0,dbg,
fmt/1367,GeoJSON,,0,geojson,
fmt/1369,Error File,,0,err,
fmt/149,JTIP (JPEG Tiled Image Pyramid),,0,,
fmt/150,JPEG-LS,,0,jls,
fmt/153,Tagged Image File Format for Image Technology (TIFF/IT),,0,tif,
fmt/153,Tagged Image File Format for Image Technology (TIFF/IT),,0,tiff,
fmt/156,Tagged Image File Format for Internet Fax (TIFF-FX),,0,tif,
fmt/156,Tagged Image File Format for Internet Fax (TIFF-FX),,0,tiff,
fmt/156,Tagged Image File Format for Internet Fax (TIFF-FX),,0,tfx,
fmt/159,EBCDIC-US,,0,ebcdic,
fmt/159,EBCDIC-US,,0,siard,
fmt/162,Microsoft Multiplan,4,0,mod,
fmt/164,Microsoft Works Word Processor for DOS,1.12,0,,Yes
fmt/165,Microsoft Works Word Processor for DOS,2,0,,Yes
fmt/167,Microsoft Works Spreadsheet for DOS,1.12,0,,Yes
fmt/168,Microsoft Works Spreadsheet for DOS,2,0,,Yes
fmt/169,Microsoft Works Database for DOS,1.05,0,wdb,
fmt/170,Microsoft Works Database for DOS,1.12,0,wdb,
fmt/171,Microsoft Works Database for DOS,2,0,wdb,
fmt/172,Microsoft Excel for Macintosh,3,0,,Yes
fmt/173,Microsoft Excel for Macintosh,4,0,,Yes
fmt/174,Microsoft Excel for Macintosh,98,0,,Yes
fmt/175,Microsoft Excel for Macintosh,2001,0,xls,
fmt/176,Microsoft Excel for Macintosh,2002,0,xls,
fmt/177,Microsoft Excel for Macintosh,2004,0,xls,
fmt/178,Microsoft Excel for Macintosh,X,0,,Yes
fmt/179,Microsoft PowerPoint for Macintosh,4,0,ppt,
fmt/180,Microsoft PowerPoint for Macintosh,98,0,,Yes
fmt/181,Microsoft PowerPoint for Macintosh,2001,0,ppt,
fmt/182,Microsoft PowerPoint for Macintosh,X,0,,Yes
fmt/195,ERDAS IMAGINE Gray-scale Bitmap Image,,0,gis,
fmt/197,InstallShield Compiled Rules File,,0,inx,
fmt/201,Mathematica Notebook,,0,nb,
fmt/204,RealVideo Clip,,0,rv,
fmt/205,Synchronized Multimedia Integration Language,,0,smil,
fmt/206,Structured Query Language Data,,0,sql,
fmt/207,Obsidium Project File,,0,opf,
fmt/208,Binary File,,0,bin,
fmt/209,Sound Designer II Audio File,,0,sd2,
fmt/210,Statistica Report File,,0,str,
fmt/212,Information or Setup File,,0,inf,
fmt/213,ScanIt Document,,0,sid,
fmt/218,Microsoft FrontPage,,0,lck,
fmt/219,Microsoft Works Database for Windows,2,0,wdb,
fmt/220,Microsoft Works Spreadsheet for Windows,2,0,,Yes
fmt/221,Microsoft Works Word Processor for Windows,2,0,,Yes
fmt/222,Microsoft Works Database for Windows,2.0a,0,wdb,
fmt/223,Microsoft Works Database for Windows,3,0,wdb,
fmt/224,Microsoft Works Database for Windows,3.0a,0,wdb,
fmt/225,Microsoft Works Database for Windows,3.0b,0,wdb,
fmt/226,Microsoft Works Database for Windows,4,0,wdb,
fmt/227,Microsoft Works Spreadsheet for Windows,2.0a,0,,Yes
fmt/228,Microsoft Works Spreadsheet for Windows,3,0,,Yes
fmt/229,Microsoft Works Spreadsheet for Windows,3.0a,0,,Yes
fmt/230,Microsoft Works Spreadsheet for Windows,3.0b,0,,Yes
fmt/231,Microsoft Works Spreadsheet for Windows,4,0,,Yes
fmt/232,Microsoft Works Word Processor for Windows,2.0a,0,,Yes
fmt/234,Microsoft Works Word Processor for Windows,3.0a,0,,Yes
fmt/235,Microsoft Works Word Processor for Windows,3.0b,0,,Yes
fmt/236,Microsoft Works Word Processor for Windows,4,0,,Yes
fmt/237,Microsoft Office Binder File for Windows,95,0,obd,
fmt/238,Microsoft Office Binder Template for Windows,95,0,obt,
